,user_id,bigram_id,state,createDate,answer
0,1,0,TRUE,2022-04-30,测试
1,1,1,TRUE,2022-05-01,实验
2,1,2,TRUE,2022-05-02,试验
3,1,3,TRUE,2022-05-03,测试
4,1,4,TRUE,2022-05-04,实验
5,1,5,TRUE,2022-05-05,试验
6,1,6,TRUE,2022-05-06,测试
7,1,7,TRUE,2022-05-07,实验
8,1,8,TRUE,2022-05-08,试验
9,1,9,TRUE,2022-05-09,测试
10,1,10,TRUE,2022-05-10,实验
11,1,11,TRUE,2022-05-11,试验
12,1,12,TRUE,2022-05-12,测试
13,1,13,TRUE,2022-05-13,实验
14,1,14,TRUE,2022-05-14,试验
15,1,15,TRUE,2022-05-15,测试
16,1,16,TRUE,2022-05-16,实验
17,1,17,TRUE,2022-05-17,试验
18,1,18,TRUE,2022-05-18,测试
19,1,19,TRUE,2022-05-19,实验
20,1,20,TRUE,2022-05-20,试验
21,1,21,TRUE,2022-05-21,测试
22,1,22,TRUE,2022-05-22,实验
23,1,23,TRUE,2022-05-23,试验
24,1,24,TRUE,2022-05-24,测试
25,1,25,TRUE,2022-05-25,实验
26,1,26,TRUE,2022-05-26,测试
27,1,27,TRUE,2022-05-27,实验
28,1,28,TRUE,2022-05-28,试验
29,1,29,TRUE,2022-05-29,测试
30,1,30,TRUE,2022-05-30,实验
31,1,31,TRUE,2022-05-31,试验
32,1,32,TRUE,2022-06-01,测试
33,1,0,TRUE,2022-06-02,实验
34,1,1,TRUE,2022-06-03,试验
35,1,2,TRUE,2022-06-04,测试
36,1,3,TRUE,2022-06-05,实验
37,1,4,TRUE,2022-06-06,试验
38,1,5,TRUE,2022-06-07,测试
39,1,6,TRUE,2022-06-08,实验
40,1,7,TRUE,2022-06-09,试验
41,1,41,TRUE,2022-06-10,测试
42,1,42,TRUE,2022-06-11,实验
43,1,43,TRUE,2022-06-12,试验
44,1,0,TRUE,2022-06-13,测试
45,1,1,TRUE,2022-06-14,实验
46,1,2,TRUE,2022-06-15,试验
47,1,3,TRUE,2022-06-16,测试
48,1,4,TRUE,2022-06-17,实验
49,1,5,TRUE,2022-06-18,试验
50,1,6,TRUE,2022-06-19,测试
51,1,7,TRUE,2022-06-20,实验
52,1,52,TRUE,2022-06-21,测试
53,1,53,TRUE,2022-06-22,实验
54,1,54,TRUE,2022-06-23,试验
55,1,55,TRUE,2022-06-24,测试
56,1,0,TRUE,2022-06-25,实验
57,1,1,TRUE,2022-06-26,试验
58,1,2,TRUE,2022-06-27,测试
59,1,3,TRUE,2022-06-28,实验
60,1,4,TRUE,2022-06-29,试验
61,1,5,TRUE,2022-06-30,测试
62,1,6,TRUE,2022-07-01,实验
63,1,7,TRUE,2022-07-02,试验
64,1,64,TRUE,2022-07-03,测试
65,1,65,TRUE,2022-07-04,实验
66,1,66,TRUE,2022-07-05,试验
67,1,67,TRUE,2022-07-06,测试
68,1,68,TRUE,2022-07-07,实验
69,1,69,TRUE,2022-07-08,试验
70,1,70,TRUE,2022-07-09,测试
71,1,71,TRUE,2022-07-10,实验
72,1,72,TRUE,2022-07-11,试验
73,1,73,TRUE,2022-07-12,测试
74,1,74,TRUE,2022-07-13,实验
75,1,75,TRUE,2022-07-14,试验
76,1,0,TRUE,2022-07-15,测试
77,1,1,TRUE,2022-07-16,实验
78,1,2,TRUE,2022-07-17,测试
79,1,3,TRUE,2022-07-18,实验
80,1,4,TRUE,2022-07-19,试验
81,1,5,TRUE,2022-07-20,测试
82,1,6,TRUE,2022-07-21,实验
83,1,7,TRUE,2022-07-22,试验
84,1,84,TRUE,2022-07-23,测试
85,1,85,TRUE,2022-07-24,实验
86,1,86,TRUE,2022-07-25,试验
87,1,87,TRUE,2022-07-26,测试
88,1,1,TRUE,2022-07-27,实验
89,1,2,TRUE,2022-07-28,试验
90,1,3,TRUE,2022-07-29,测试
91,1,4,TRUE,2022-07-30,实验
92,1,5,TRUE,2022-07-31,试验
93,1,6,TRUE,2022-08-01,测试
94,1,7,TRUE,2022-08-02,实验
